Date,NFT,REIT,AAA,TY,BTC,ETH,OIL,GOLD,S&P
12/12/2019,-0.070891652,-0.015694629,-0.0085436,1.897,0.003555472,0.013803256,0.007122296,-0.001839175,0.008538608
12/13/2019,-0.10633565,0.000159227,0.009557834,1.819,0.003658879,-0.004538014,0.014926902,0.006049707,7.26E-05
12/16/2019,0.469714236,0.006651874,-0.004969836,1.892,-0.031216548,-0.06869317,0.002327903,-0.000406697,0.007122392
12/17/2019,0.029235594,-0.009734902,5.58E-05,1.889,-0.04302814,-0.085996519,0.012051322,-0.000271223,0.000335215
12/18/2019,0.889367946,0.011894181,-0.002473087,1.924,0.091502039,0.082083332,-0.000164109,-0.001357221,-0.000432354
12/19/2019,-0.666083857,0.009125152,0.001495761,1.908,-0.0102156,-0.028743339,0.004748269,0.003795585,0.004449309
12/20/2019,0.099440837,0.00635271,-0.00128594,1.917,0.002215026,-0.00197441,-0.012822796,-0.002370552,0.004932641
12/23/2019,0.825464244,-0.006039991,-0.001371627,1.935,-0.020981219,-0.028803646,0.001322752,0.005275273,0.000865757
12/24/2019,-0.171204961,0.001367039,0.00262963,1.91,-0.004509591,0.003491175,0.00970163,0.011135076,-0.000195428
12/27/2019,-0.595437812,0.008305298,0.003443496,1.874,0.007037181,0.00673084,0.000648298,0.002977079,3.40E-05
12/30/2019,0.017716081,-0.003528729,-0.002675699,1.895,-0.017622203,-0.015890864,-0.000648298,0.000462306,-0.005797602
12/31/2019,-0.109270388,0.009100226,-0.002948762,1.919,-0.013722695,-0.023053027,-0.010102742,0.003295982,0.002941694
1/2/2020,-0.053042736,-0.015100551,0.003144107,1.882,-0.030272928,-0.026273107,0.001963351,0.003285154,0.008343874
1/3/2020,0.323041705,0.009051533,0.006217118,1.788,0.050171746,0.051708737,0.030107724,0.016072181,-0.00708491
1/6/2020,0.863227887,0.000877432,-0.006147361,1.811,0.047161467,0.057235288,0.003483221,0.010913635,0.003527166
1/7/2020,-0.366454017,-0.012041497,-0.002598239,1.827,0.049526889,-0.0052817,-0.009049836,0.003569156,-0.002807145
1/8/2020,0.106539066,0.004168642,-0.004682667,1.874,-0.010321673,-0.016052599,-0.050538102,-0.009203695,0.004890437
1/9/2020,-0.60590026,-0.000494123,0.004179002,1.858,-0.025164851,-0.016264651,-0.000839137,-0.00366666,0.006633244
1/10/2020,0.313258914,0.00843145,0.005943844,1.825,0.035837017,0.035237416,-0.008769028,0.003730868,-0.002859307
1/13/2020,0.342992399,0.01159148,-0.001294589,1.848,-0.005913064,-0.011357144,-0.01639381,-0.005859832,0.00695206
